user_id,user_name,screen_name,followers_count,description,verified,profile_image_default,protected,favourites_count,user_registration,bot,botoscore
897130996386205696,b'A10-C \xe2\x82\xbfTC \xee\xa8\x80',A10CWolf,513,1,0,0,0,45497,14-08-2017,0,0.3
319561543,b'\xd0\x9f\xd0\xb5\xd0\xb2\xd0\xb8\xd1\x86\xd0\xb0 \xd0\x81\xd0\xbb\xd0\xba\xd0\xb0',elkasinger,1864496,1,0,0,0,16736,18-06-2011,0,0.8
886841173,b'Olathe Police',OlathePolice,20190,1,0,0,0,3114,17-10-2012,0,0.4
2895126367,b'Austin Thomas Wood',AWood217,252,1,0,0,0,20884,09-11-2014,0,0.1
1936465760,b'IfiendforJordans\xf0\x9f\x98\x8e\xf0\x9f\x87\xb8\xf0\x9f\x87\xbb\xf0\x9f\x8d\xba',NaDaSHoT,284,1,0,0,0,170659,05-10-2013,0,3.7
557850467,b'Alexandra Hardman',263446828Banana,5,1,0,0,0,175,19-04-2012,1,5.0
261715746,b'alejandra',jandry7428,13,0,0,0,0,855,06-03-2011,0,2.9
97525613,b'Ryan Greenberg',Gberg2119,9,0,0,0,0,386,17-12-2009,0,err
15227979,b'Tefty',teft,47006,1,0,0,0,12433,25-06-2008,0,0.2
1072211,b'Rich Thomas',earthdog,366,1,0,0,0,4328,13-03-2007,0,err
2833275980,b'Kenneth Villalon',jkvillalon,2,0,0,0,0,2,26-09-2014,0,5.0
772683653394624512,b'Toshiko gray',HamsterToshikog,0,1,0,0,0,138,05-09-2016,0,1.2
116677732,b'Rahul Bose',RahulBose1,1893995,1,0,0,0,274,23-02-2010,0,0.5
1035492451,b'Adriana',pervadri,50,1,0,0,0,3501,25-12-2012,1,2.8
20470890,b'Kayleigh Elizabeth',kayleidoscope,9108,1,0,0,0,24518,09-02-2009,0,0.0
66083959,b'Matt Pokora',MPokora,5863981,0,0,0,0,1867,16-08-2009,0,1.2
17587321,b'\xf0\x9d\x93\x9cariah',RelevantMom,2543,1,0,0,0,35874,24-11-2008,0,0.0
779846304683798528,b'boothanng',tali_215,209,0,0,0,0,4977,25-09-2016,0,1.4
370433175,b'Wendy Shackley',dniel_elelejido,24,1,0,0,0,329,09-09-2011,1,5.0
69229721,b'Ali Zafar',AliZafarsays,3117638,1,0,0,0,968,27-08-2009,0,0.4
40131745,b'kindly myers',KindlyMyers,342692,1,0,0,0,51538,15-05-2009,0,0.2
577264802,b'maria gulfo',mariagulfogo,6,0,0,0,0,7,11-05-2012,0,3.6
714640248098009089,b'FIT\xf0\x9f\x92\xa4',NotoriousFIZ,233,1,0,0,0,26929,29-03-2016,0,0.2
861691058,b'Melrose MAGOP',MelroseMAGOP,739,1,0,0,0,609,04-10-2012,1,4.0
2169003205,b'Newport News Police Department',NewportNewsPD,8688,1,0,0,0,3851,01-11-2013,0,1.4
45112524,b'Usain St. Leo Bolt',usainbolt,4887474,1,0,0,0,67,06-06-2009,0,0.7
112483534,b'Mark K',mightywildcard,6,1,0,0,0,1317,08-02-2010,0,0.4
118774999,b'Nelson J Sanchez B',neljosanbar,2422,1,0,0,0,932,01-03-2010,0,1.9
784400569746284544,b'Victor',vadimpetrovxeg7,0,1,0,0,0,415,07-10-2016,1,4.6
782206295650820096,b'Sarita Massol',Saritamassol26P,0,1,0,0,0,61,01-10-2016,0,1.4
857120309228560384,b'Tri Nguyen Minh',TriNguyenMinh91,37,1,0,0,0,81,26-04-2017,0,1.4
35151080,b'DrKnIgHt_38',PRETTYKAKEZ,281,0,0,0,0,2209,25-04-2009,1,2.3
1449155815,b'Selena Gomez News',SelenaGCrew,8293,1,0,0,0,39,22-05-2013,1,3.4
892844401,b'Vikram Bais',vikramitc,12,0,0,0,0,428,20-10-2012,0,1.5
